Districts,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,
Ahmednagar,22,23,23,23,23,23,24,24,24,24,29,29,29,29,33,33,34,35,35,35,35,35,35,43,43,43,43,45,45,45,47,47,48,52,57,57,57,60,62,72,76,89,101,118,121,139,147,165,166,166,166,179,183,198,204,208,209,214,224,231,236,240,241,249,258,273,276,306,340,357,357,390,415,447,453,471,485,524,556,564,570,633,664,705,755,828,880,1000,1066,1138,1189,1395,1552,1862,2141,2351,2760,2919,3144,3412,3609,3830,
Akola,7,8,8,8,8,8,11,13,13,14,25,26,26,26,26,14,14,55,60,70,71,73,113,117,120,123,130,151,160,177,185,200,250,275,289,319,326,346,358,385,405,439,439,443,447,497,497,505,509,568,568,569,634,674,708,753,757,788,788,791,827,858,863,869,925,973,1079,1089,1106,1182,1199,1224,1246,1272,1416,1427,1454,1468,1498,1547,1552,1588,1588,1623,1642,1665,1685,1702,1719,1726,1793,1824,1865,1887,1894,1909,1951,1967,1999,2040,2055,2096,
Amravati,4,4,4,4,4,4,4,4,5,8,8,8,8,8,21,21,45,56,56,56,56,62,62,65,66,68,78,78,78,82,83,90,90,117,121,124,124,138,158,158,164,166,167,173,200,210,235,236,243,243,258,259,268,273,273,278,278,298,312,328,332,347,368,368,382,414,419,425,434,446,451,481,519,528,530,551,576,613,640,647,659,705,705,737,805,856,923,993,1008,1048,1083,1119,1186,1245,1292,1362,1370,1416,1490,1513,1588,1654,
Aurangabad,22,22,22,22,22,22,22,22,22,22,24,31,31,31,52,95,95,140,154,229,260,271,298,329,411,436,544,570,597,691,743,793,879,959,986,986,1012,1060,1095,1119,1148,1181,1189,1231,1271,1283,1331,1360,1400,1455,1516,1573,1654,1676,1713,1787,1880,1921,1982,1992,2050,2126,2167,2222,2296,2349,2460,2537,2614,2703,2788,3006,3190,3285,3408,3562,3738,4042,4304,4489,4643,4899,4943,5234,5354,5449,5522,5590,5779,6039,6364,6467,6767,7127,7521,7840,8250,8569,8807,9066,9400,9750,
Beed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,13,26,26,27,29,38,38,39,44,46,46,46,49,49,49,49,51,52,56,56,62,65,67,68,70,70,75,75,77,86,91,95,95,95,95,95,95,95,101,101,103,105,105,118,124,124,133,134,152,161,167,168,175,181,189,189,205,220,221,234,246,269,271,271,273,302,327,
Bhandara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,12,14,14,18,24,24,24,31,31,31,38,41,41,41,41,41,41,49,49,49,49,49,51,56,58,58,58,71,75,75,77,77,77,78,80,80,80,82,82,89,89,90,95,98,98,100,100,106,153,160,167,170,170,170,174,175,188,193,194,195,195,203,204,204,
Buldhana,14,15,17,17,17,19,19,19,20,20,24,24,21,21,26,23,23,23,23,27,24,24,24,24,24,24,24,25,26,26,27,28,28,29,29,33,33,42,45,46,48,48,48,54,54,56,69,73,73,73,77,77,83,91,92,104,104,116,117,120,131,134,136,140,145,145,152,152,160,167,169,182,186,190,190,197,206,206,216,216,216,216,216,225,225,227,227,227,234,247,307,531,541,601,640,665,685,695,773,782,840,870,
Chandrapur,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,5,5,9,15,15,17,24,25,25,25,25,25,25,26,26,26,26,26,27,28,28,29,30,40,40,44,44,44,45,48,48,52,54,54,55,56,57,61,61,63,69,72,73,80,93,94,96,98,102,106,115,116,134,142,148,164,170,179,183,197,206,212,233,240,246,261,266,269,279,282,298,
Dhule,0,0,0,0,0,0,0,0,0,0,5,12,14,14,15,16,16,19,19,24,24,24,38,38,47,52,53,62,62,62,62,63,67,70,71,86,88,93,94,99,102,108,118,118,129,135,161,168,199,223,223,254,277,278,318,321,329,339,350,353,372,391,399,449,496,544,594,657,680,692,704,724,752,766,824,834,834,835,860,864,949,1174,1174,1227,1250,1282,1393,1395,1406,1438,1572,1603,1704,1726,1731,1733,1943,2027,2031,2035,2145,2192,
Gadchiroli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,10,12,12,19,25,25,27,31,34,37,38,38,39,39,41,41,41,41,43,43,46,46,47,47,47,50,51,51,53,58,58,58,58,59,60,60,64,64,64,66,66,66,71,71,78,104,104,105,105,115,126,126,129,138,169,180,200,210,214,220,225,234,245,246,249,259,
Gondia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,28,32,38,45,48,50,50,57,58,64,67,67,68,68,68,69,69,69,69,69,69,69,69,72,72,85,86,100,102,102,102,102,102,104,104,104,104,105,112,115,127,127,139,156,156,162,163,175,184,186,191,196,196,205,210,210,216,218,222,224,224,229,230,231,231,243,245,247,
Hingoli,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,20,21,45,46,48,81,81,86,86,86,87,87,91,91,92,92,92,92,97,97,98,106,106,106,146,146,163,163,164,168,179,183,184,184,187,187,195,195,195,203,203,214,215,226,231,232,232,232,238,238,241,241,243,250,250,250,254,260,260,268,275,276,276,279,286,291,292,292,295,297,306,309,309,322,328,357,357,362,367,381,401,425,429,434,442,446,447,
Jalgaon,1,1,1,1,1,1,1,1,1,1,1,2,2,2,5,29,29,29,32,46,52,75,77,105,120,135,174,182,182,185,204,218,239,263,272,277,298,324,330,362,374,411,451,490,516,569,600,634,653,668,730,798,880,929,1075,1136,1187,1244,1267,1296,1361,1496,1733,1793,1845,1916,2006,2108,2194,2263,2420,2506,2680,2774,2850,3147,3242,3336,3508,3661,3768,4090,4203,4515,4749,5031,5271,5455,5662,5782,5975,6108,6384,6668,6856,7088,7385,7688,7822,8155,8318,8595,
Jalna,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,7,7,8,8,8,11,13,13,15,16,23,24,32,45,54,57,58,59,72,78,85,120,130,131,148,148,148,156,159,171,181,194,201,226,230,231,250,259,264,282,292,313,313,333,334,344,355,363,380,380,397,424,456,474,475,506,506,571,580,612,631,639,661,661,664,673,673,681,761,909,909,1150,1334,1418,1421,1434,1453,1481,1512,1512,1533,
Kolhapur,4,4,4,4,4,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,12,12,12,15,18,18,36,87,104,150,150,205,213,260,303,334,335,394,430,470,504,504,521,532,532,532,615,646,661,666,670,677,691,700,700,707,710,710,711,711,717,722,724,732,732,733,735,758,759,765,794,807,822,831,840,886,890,904,907,950,975,988,1004,1008,1024,1156,1169,1235,1288,1393,1590,1694,2049,2233,2577,2731,
Latur,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,11,15,15,21,21,22,22,28,28,28,28,28,38,42,42,50,52,55,60,60,69,69,72,83,94,102,102,112,118,118,118,118,120,121,121,126,127,130,136,139,142,149,149,165,176,183,191,191,191,195,199,204,223,229,232,252,265,277,284,317,325,336,350,364,387,407,434,467,496,541,569,621,649,708,764,810,860,900,964,1020,1122,1138,1212,1259,1298,
Mumbai,641,711,798,936,1092,1134,1203,1230,1395,1605,1694,1793,1867,1867,2296,2366,2513,2739,2944,3125,3260,3498,3730,4352,4702,5769,6096,6381,7083,7584,8013,8408,8650,16008,16364,16791,16985,17213,17472,18096,18778,19977,21190,22032,22943,23694,24209,25152,25947,26986,30125,31041,31338,31856,32264,32867,33491,34121,34576,37008,39149,39744,42329,43154,43545,44170,44791,50691,52392,53463,55884,57152,58137,59238,60195,61934,63431,64872,65622,66633,67830,67830,69340,70492,71685,72648,73555,75118,77102,78259,78876,80238,81944,84411,85327,86447,87074,87906,88299,90089,90960,91673,
Nagpur,20,20,20,35,37,37,37,40,50,56,63,63,63,63,66,71,75,86,93,128,159,162,188,228,269,274,283,293,306,329,333,334,336,342,353,358,378,381,392,410,411,416,434,466,478,495,523,536,539,598,624,631,647,651,781,809,833,842,897,942,965,1005,1021,1037,1101,1144,1198,1228,1241,1292,1296,1310,1324,1333,1345,1364,1366,1366,1387,1404,1404,1417,1417,1428,1438,1460,1470,1479,1497,1538,1627,1711,1754,1841,1898,1928,1930,1978,1992,2164,2174,2175,
Nanded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,24,24,29,29,34,37,43,43,43,43,61,69,69,82,86,86,91,91,99,102,102,104,108,110,113,113,116,117,137,151,161,161,164,164,166,175,175,175,178,178,225,231,231,231,231,231,234,234,241,241,242,242,242,242,246,248,251,251,252,254,256,374,382,403,411,421,457,463,499,533,544,555,619,644,649,679,746,812,843,881,904,923,
Nandurbar,0,0,0,0,0,0,0,0,0,0,4,4,4,4,9,9,9,9,10,10,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,27,27,28,28,28,28,28,28,28,28,30,30,30,30,32,33,33,33,36,36,36,41,52,52,52,52,60,70,70,72,72,73,79,83,83,139,143,143,149,149,149,149,149,167,172,172,172,172,173,195,195,198,200,232,295,322,326,360,364,366,414,414,420,436,441,465,
Nashik,2,5,6,6,6,6,6,6,6,6,24,24,42,42,47,47,103,126,139,139,265,416,550,638,639,641,641,669,718,722,728,750,755,818,893,893,893,919,942,942,978,1012,1027,1027,1094,1130,1164,1164,1170,1178,1214,1218,1314,1368,1422,1449,1526,1526,1620,1720,1773,1852,2007,2063,2166,2232,2322,2458,2616,2820,2935,3159,3261,3343,3435,3633,3757,3847,4209,4435,4575,4821,4895,5085,5184,5386,5658,5818,6154,6478,6887,6998,7299,7688,7907,8483,8931,9391,9587,10019,10419,10888,
Osmanabad,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,6,8,9,12,13,18,19,26,32,40,45,53,58,59,69,74,83,87,96,100,113,113,113,123,123,125,126,130,130,130,135,140,147,150,161,164,169,171,174,180,182,186,193,195,202,203,209,223,234,246,251,272,275,276,296,312,334,339,349,369,387,398,429,448,480,486,512,518,520,522,529,561,589,
Other State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,
Palghar,35,36,36,40,46,55,55,64,87,92,100,104,107,107,114,118,118,118,118,128,136,136,139,166,177,220,223,231,239,255,264,271,273,280,329,378,391,443,447,458,468,581,607,608,608,645,687,688,714,714,714,797,922,960,1016,1045,1047,1154,1154,1158,1188,1382,1508,1767,2621,2621,2654,2796,2866,2900,2965,3117,3348,3794,4152,4554,4773,4817,4967,5233,5338,5877,5902,6241,6333,6583,7000,7176,7449,7752,8151,8248,8420,8776,9049,9155,9323,9636,9702,9994,10305,10507,
Parbhani,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,24,24,26,45,46,46,46,50,58,62,68,68,69,71,71,73,73,73,74,74,74,74,75,75,75,75,75,76,76,76,79,83,83,83,83,83,92,96,96,99,101,103,119,132,132,132,157,157,164,175,175,178,183,190,190,191,198,208,219,333,339,340,359,378,392,
Pune,210,221,233,244,248,285,321,339,425,528,588,670,730,730,925,1086,1163,1197,1377,1432,1452,1511,1676,1807,1874,1940,2174,2279,2459,2568,2830,3086,3242,3425,3559,3699,3793,4317,4585,4774,4893,5195,5516,5743,5903,6079,6208,6379,6567,6750,7279,7293,7410,7585,8020,8324,8622,8791,9142,9407,9706,10025,10335,10708,10943,11270,11545,11985,12218,13064,13406,13971,14313,14810,15179,15526,16016,16427,16857,17202,17492,18042,18172,18881,19517,20311,21478,22484,23589,24415,25256,26230,27620,29456,32076,35382,37311,43410,48481,52719,58137,59443,
Raigad,20,21,21,23,24,26,26,28,33,38,43,45,45,45,45,98,98,98,99,99,99,99,99,109,114,194,195,197,298,344,430,488,488,518,549,573,598,621,645,704,704,717,735,805,926,981,1020,1038,1148,1163,1247,1307,1320,1412,1469,1519,1541,1654,1711,1793,1820,1830,1893,1924,2003,2127,2186,2355,2536,2686,2741,2894,3068,3259,3362,3507,3679,3731,4174,4222,4238,5073,5096,5733,6168,6321,6561,6703,7399,8060,9339,9430,9724,10530,10532,10654,10858,10950,12018,12469,13207,13302,
Ratnagiri,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,13,14,15,15,32,32,32,32,40,49,62,69,76,88,90,98,99,118,118,123,129,158,159,182,187,191,207,239,256,276,290,300,307,312,327,330,334,345,352,361,374,398,419,423,424,435,445,446,449,458,471,483,508,521,531,543,559,601,610,624,637,660,669,686,713,725,733,738,755,800,814,831,866,882,895,897,926,940,1085,1162,1242,1284,
Sangli,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,27,28,28,28,28,30,30,31,32,33,36,36,37,42,45,45,46,46,53,55,58,62,63,63,71,79,86,88,89,95,106,108,109,114,120,125,144,144,145,152,156,160,168,172,176,194,196,200,201,207,217,228,234,239,247,251,254,261,268,283,302,322,330,350,385,394,404,411,440,476,505,515,543,555,590,609,636,697,786,825,885,940,1034,1064,1148,1245,1333,
Satara,3,4,5,8,9,9,10,10,12,11,14,14,16,16,17,31,31,33,33,52,58,62,68,70,95,104,114,114,127,127,128,128,128,145,148,148,177,178,206,212,250,291,309,309,359,361,384,384,419,436,461,473,491,505,541,565,584,618,632,668,673,687,701,703,706,724,730,743,757,763,769,793,815,857,884,909,963,981,1028,1071,1086,1155,1176,1217,1259,1318,1375,1387,1508,1580,1629,1714,1773,1824,1930,2011,2169,2371,2450,2577,2650,2781,
Sindhudurg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,4,4,4,5,5,5,7,7,7,7,7,7,7,8,8,8,8,17,17,17,18,27,31,51,53,60,76,78,83,91,91,99,114,125,126,140,144,146,147,148,150,151,152,154,154,154,155,164,172,179,187,196,201,203,205,205,217,220,223,226,226,229,229,238,238,241,244,247,252,255,255,262,269,271,271,280,281,285,294,298,
Solapur,0,0,0,0,0,0,0,0,22,22,22,22,28,28,29,29,47,47,102,102,109,122,145,156,156,163,204,210,228,230,269,287,303,314,353,371,423,443,448,457,572,620,620,620,627,654,654,654,654,676,690,692,702,880,953,1000,1030,1134,1170,1224,1321,1371,1423,1430,1444,1473,1563,1587,1631,1673,1692,1741,1783,1847,1907,1986,2051,2076,2161,2233,2273,2343,2346,2433,2469,2683,2852,2941,3060,3340,3473,3621,3750,3942,4054,4211,4615,4704,4764,4947,5266,5485,
Thane,125,129,132,163,172,185,196,250,285,298,352,352,359,359,369,578,578,578,630,671,766,813,872,1066,1103,1172,1229,1532,1592,1929,2137,2224,2300,2729,2973,3400,3637,3732,3992,4179,4445,4686,4836,5081,5218,5706,6234,6645,6818,6871,7890,8363,8591,8988,9284,9284,9575,10102,10766,11778,12424,13094,13802,14335,14656,15042,15621,16443,17227,17851,18156,18672,19459,21252,22821,24624,25829,26489,27642,29548,30820,32742,32912,34017,34686,36676,39816,41584,42657,43777,45874,47837,50932,53384,55250,57335,58836,59991,61516,62448,64850,66333,
Wardha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,6,7,7,7,7,7,7,7,7,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,13,13,13,13,13,14,14,14,14,14,14,14,33,33,33,36,39,40,40,42,45,51,51,62,82,84,97,102,106,125,146,152,152,
Washim,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,9,11,17,17,37,44,48,53,58,61,61,64,71,74,77,80,81,82,93,95,95,95,99,104,104,106,110,112,116,116,134,149,158,161,183,202,266,271,294,295,305,325,353,361,410,418,429,461,463,
Yavatmal,10,10,10,10,10,10,10,10,10,19,19,19,19,19,40,40,49,50,50,50,50,87,88,89,89,91,91,91,91,91,91,92,92,92,92,99,99,99,99,99,104,104,115,115,116,117,117,117,134,136,137,139,139,142,156,156,161,161,161,161,173,181,186,186,203,203,209,221,221,227,235,238,241,253,260,266,280,280,291,298,315,322,327,349,363,378,393,412,426,431,436,436,451,451,460,469,508,515,523,583,679,704,